code_wilaya,nom_wilaya,code_commune,nom_commune,nom_commune_ar,daira,daira_ar
1,Adrar,113,Timekten,تيمقتن,Aoulef,أولف
1,Adrar,122,Bouda,بودة,Adrar,أدرار
1,Adrar,121,Ouled Ahmed Timmi,أولاد أحمد تيمي,Adrar,أدرار
1,Adrar,101,Adrar,أدرار,Adrar,أدرار
1,Adrar,115,Fenoughil,فنوغيل,Fenoughil,فنوغيل
1,Adrar,105,Ain Zghmir,عين زغمير,Zaouiat Kounta,زاوية كنتة
1,Adrar,104,Reggane,رقان,Reggane,رقان
1,Adrar,118,Sali,سالي,Reggane,رقان
1,Adrar,126,Sebaa,السبع,Tsabit,تسابيت
1,Adrar,108,Tsabit,تسابيت,Tsabit,تسابيت
1,Adrar,102,Tamest,تامست,Fenoughil,فنوغيل
1,Adrar,114,Tamantit,تامنطيط,Fenoughil,فنوغيل
1,Adrar,106,Tit,تيت,Aoulef,أولف
1,Adrar,111,Zaouiet Kounta,زاوية كنتة,Zaouiat Kounta,زاوية كنتة
1,Adrar,119,Akabli,اقبلي,Aoulef,أولف
1,Adrar,112,Aoulef,أولف,Aoulef,أولف
2,Chlef,214,Talassa,تلعصة,Abou El Hassane,أبو الحسن
2,Chlef,220,Zeboudja,الزبوجة,Zeboudja,الزبوجة
2,Chlef,227,El Hadjadj,الحجاج,Ouled Ben Abdelkader,أولاد بن عبد القادر
2,Chlef,230,Ouled Ben Abdelkader,أولاد بن عبد القادر,Ouled Ben Abdelkader,أولاد بن عبد القادر
2,Chlef,232,Ain Merane,عين مران,Ain Merane,عين مران
2,Chlef,234,Breira,بريرة,Beni Haoua,بني حواء
2,Chlef,218,Ouled Abbes,أولاد عباس,Oued Fodda,وادي الفضة
2,Chlef,229,Oued Fodda,وادي الفضة,Oued Fodda,وادي الفضة
2,Chlef,213,Beni Rached,بني راشد,Oued Fodda,وادي الفضة
2,Chlef,215,Herenfa,الهرانفة,Ain Merane,عين مران
2,Chlef,205,Tadjena,تاجنة,Abou El Hassane,أبو الحسن
2,Chlef,223,El Marsa,المرسى,El Marsa,المرسى
2,Chlef,201,Chlef,الشلف,Chlef,الشلف
2,Chlef,233,Oum Drou,أم الدروع,Chlef,الشلف
2,Chlef,219,Sendjas,سنجاس,Chlef,الشلف
2,Chlef,225,Sidi Abderrahmane,سيدي عبد الرحمن,Tenes,تنس
2,Chlef,211,Sidi Akkacha,سيدي عكاشة,Tenes,تنس
2,Chlef,202,Tenes,تنس,Tenes,تنس
2,Chlef,235,Beni Bouattab,بني بوعتاب,El Karimia,الكريمية
2,Chlef,204,El Karimia,الكريمية,El Karimia,الكريمية
2,Chlef,209,Harchoun,حرشون,El Karimia,الكريمية
2,Chlef,231,Bouzeghaia,بوزغاية,Zeboudja,الزبوجة
2,Chlef,206,Taougrit,تاوقريت,Taougrit,تاوقريت
2,Chlef,207,Beni Haoua,بني حواء,Beni Haoua,بني حواء
2,Chlef,222,Abou El Hassane,أبو الحسن,Abou El Hassane,أبو الحسن
2,Chlef,216,Oued Goussine,وادي قوسين,Beni Haoua,بني حواء
2,Chlef,224,Chettia,الشطية,Ouled Fares,أولاد فارس
2,Chlef,226,Moussadek,مصدق,El Marsa,المرسى
2,Chlef,210,Ouled Fares,أولاد فارس,Ouled Fares,أولاد فارس
2,Chlef,212,Boukadir,بوقادير,Boukadir,بوقادير
2,Chlef,221,Oued Sly,وادي سلي,Boukadir,بوقادير
2,Chlef,208,Sobha,الصبحة,Boukadir,بوقادير
2,Chlef,203,Benairia,بنايرية,Zeboudja,الزبوجة
2,Chlef,228,Labiod Medjadja,الأبيض مجاجة,Ouled Fares,أولاد فارس
2,Chlef,217,Dahra,الظهرة,Taougrit,تاوقريت
3,Laghouat,312,El Beidha,البيضاء,Gueltat Sidi Saad,قتلة سيدي سعيد
3,Laghouat,310,Gueltat Sidi Saad,قلتة سيدي سعد,Gueltat Sidi Saad,قتلة سيدي سعيد
3,Laghouat,311,Ain Sidi Ali,عين سيدي علي,Gueltat Sidi Saad,قتلة سيدي سعيد
3,Laghouat,308,Tadjemout,تاجموت,Ain Madhi,عين ماضي
3,Laghouat,318,Tadjrouna,تاجرونة,Ain Madhi,عين ماضي
3,Laghouat,301,Laghouat,الأغواط,Laghouat,الأغواط
3,Laghouat,302,Ksar El Hirane,قصر الحيران,Ksar El Hirane,قصر الحيران
3,Laghouat,320,El Assafia,العسافية,Sidi Makhlouf,سيدي مخلوف
